RecNumber,Label,Fat.mass,Lean.mass,FreeWater,TotalWater,TimeDateDura,Accumulation,Weight,Comments,,adiposity
1,IL4ra KO 1,1.65,21.72,0.08,19.21,15:45:08; 25 Jul 2022; 75; ems,1,25.5,EtOH,,6.470588235
2,IL4ra KO 2,2.19,24.45,0.03,21.75,15:49:46; 25 Jul 2022; 75; ems,1,28.8,EtOH,,7.604166667
3,IL4ra KO 3,2.1,20.91,0.07,18.53,15:54:54; 25 Jul 2022; 75; ems,1,25.1,EtOH,,8.366533865
4,IL4ra KO 4,1.54,24.07,0.08,21.47,16:00:50; 25 Jul 2022; 75; ems,1,27.5,EtOH,,5.6
5,WT 1,0.98,22.4,0.2,20,16:05:55; 25 Jul 2022; 75; ems,1,25.1,EtOH,,3.90438247
6,WT 2,1.18,21.46,0.12,19.17,16:11:23; 25 Jul 2022; 75; ems,1,24.1,EtOH,,4.89626556
7,WT 3,0.65,23.08,0.08,20.41,16:16:09; 25 Jul 2022; 75; ems,1,25.4,EtOH,,2.559055118
8,WT 3 RE-SCAN,0.63,23.03,0.06,20.61,16:18:22; 25 Jul 2022; 75; ems,1,25.4,,,
9,WT 4,1.05,21.91,0.12,19.66,16:22:53; 25 Jul 2022; 75; ems,1,24.5,EtOH,,4.285714286
10,IL4ra KO 1,1.27,18.17,0.06,16.11,16:28:26; 25 Jul 2022; 75; ems,1,20.7,MC903,,6.1352657
11,IL4ra KO 2,0.84,18.76,0.04,16.83,16:32:47; 25 Jul 2022; 75; ems,1,21,MC903,,4
12,IL4ra KO 3,1.55,20.51,0.05,18.11,16:37:10; 25 Jul 2022; 75; ems,1,23.5,MC903,,6.595744681
13,IL4ra KO 4,1.54,22.54,0.06,19.78,16:42:19; 25 Jul 2022; 75; ems,1,25.6,MC903,,6.015625
14,WT 1,1.63,19.12,0.07,16.8,16:46:45; 25 Jul 2022; 75; ems,1,22,MC903,,7.409090909
15,WT 2,2.05,20.57,0.06,18,16:50:57; 25 Jul 2022; 75; ems,1,24.1,MC903,,8.506224066
16,WT 3,1.28,19.7,0.08,17.31,16:56:39; 25 Jul 2022; 75; ems,1,22.3,MC903,,5.739910314
17,WT 4,1.52,19.25,0.02,17.06,17:01:39; 25 Jul 2022; 75; ems,1,22.1,MC903,,6.877828054